x_pixel,y_pixel,distance_cm
196,230,3.15251
197,230,3.13642
198,230,3.13642
199,230,3.13642
200,230,3.13642
201,230,3.12038
202,230,3.12038
203,230,3.12038
204,230,3.12038
205,230,3.12038
206,230,3.12038
207,230,3.12038
208,230,3.10438
209,230,3.08843
210,230,3.08843
211,230,3.07252
212,230,3.07252
213,230,3.07252
214,230,3.05666
215,230,3.05666
216,230,3.04084
217,230,3.04084
218,230,3.04084
219,230,3.02507
220,230,3.02507
221,230,3.02507
222,230,3.02507
223,230,3.02507
224,230,3.02507
225,230,3.02507
226,230,3.00934
227,230,3.00934
228,230,2.99366
229,230,2.99366
230,230,2.97802
231,230,2.97802
232,230,2.96242
233,230,2.96242
234,230,2.96242
235,230,2.96242
236,230,2.96242
237,230,2.96242
238,230,2.96242
239,230,2.96242
240,230,2.96242
241,230,2.96242
242,230,2.96242
243,230,2.96242
244,230,2.94686
245,230,2.93135
246,230,2.93135
247,230,2.91588
248,230,2.91588
249,230,2.91588
250,230,2.91588
251,230,2.91588
252,230,2.91588
253,230,2.91588
254,230,2.91588
255,230,2.91588
256,230,2.91588
257,230,2.93135
258,230,2.93135
259,230,2.93135
260,230,2.93135
261,230,2.93135
262,230,2.91588
263,230,2.91588
264,230,2.91588
265,230,2.91588
266,230,2.91588
267,230,2.90045
268,230,2.90045
269,230,2.90045
270,230,2.91588
271,230,2.91588
272,230,2.90045
273,230,2.90045
274,230,2.90045
275,230,2.88506
276,230,2.88506
277,230,2.88506
278,230,2.90045
279,230,2.90045
280,230,2.91588
281,230,2.91588
282,230,2.90045
283,230,2.90045
284,230,2.90045
285,230,2.90045
286,230,2.90045
287,230,2.90045
288,230,2.91588
289,230,2.91588
290,230,2.91588
129,230,3.65924
130,230,3.60628
131,230,3.57128
132,230,3.57128
133,230,3.55387
134,230,3.55387
135,230,3.53652
136,230,3.53652
137,230,3.53652
138,230,3.53652
139,230,3.53652
140,230,3.53652
141,230,3.53652
142,230,3.53652
143,230,3.53652
144,230,3.53652
145,230,3.53652
146,230,3.53652
147,230,3.53652
148,230,3.51923
149,230,3.502
150,230,3.502
151,230,3.48482
152,230,3.48482
153,230,3.43363
154,230,3.43363
155,230,3.43363
156,230,3.43363
157,230,3.43363
158,230,3.43363
159,230,3.43363
160,230,3.41667
161,230,3.41667
162,230,3.39978
163,230,3.39978
164,230,3.39978
165,230,3.39978
166,230,3.39978
167,230,3.38293
168,230,3.38293
169,230,3.38293
170,230,3.38293
171,230,3.38293
172,230,3.36614
173,230,3.36614
174,230,3.36614
175,230,3.3494
176,230,3.33272
294,230,2.93135
295,230,2.91588
296,230,2.91588
